,Age,DOB,Debuted,From,Height,Name,Weight,link
23,35 years,06/26/1984,2006,Northeastern,6 ft0 in/1.83m, J.J. Barea ,185 lbs/83.9kg,https://www.nba.com/players/j.j./barea/200826
24,27 years,05/30/1992,2012,North Carolina,6 ft8 in/2.03m, Harrison Barnes ,225 lbs/102.1kg,https://www.nba.com/players/harrison/barnes/203084
25,19 years,07/14/2000,—,Duke University,6 ft7 in/2.01m, RJ Barrett ,202 lbs/91.6kg,https://www.nba.com/players/rj/barrett/1629628
26,28 years,01-06-1991,2012,Memphis,6 ft6 in/1.98m, Will Barton ,190 lbs/86.2kg,https://www.nba.com/players/will/barton/203115
27,23 years,01/23/1996,2018,Ohio State University,6 ft9 in/2.06m, Keita Bates-Diop ,229 lbs/103.9kg,https://www.nba.com/players/keita/bates-diop/1628966
28,30 years,12/14/1988,2008,,6 ft8 in/2.03m, Nicolas Batum ,200 lbs/90.7kg,https://www.nba.com/players/nicolas/batum/201587
29,30 years,08/20/1988,2008,Arizona,6 ft3 in/1.9m, Jerryd Bayless ,200 lbs/90.7kg,https://www.nba.com/players/jerryd/bayless/201573
30,32 years,12-09-1986,2012,Washington State,6 ft10 in/2.08m, Aron Baynes ,260 lbs/117.9kg,https://www.nba.com/players/aron/baynes/203382
31,30 years,07-01-1989,2012,Old Dominion,6 ft5 in/1.96m, Kent Bazemore ,201 lbs/91.2kg,https://www.nba.com/players/kent/bazemore/203145
32,19 years,06-12-2000,—,,6 ft9 in/2.06m, Darius Bazley ,208 lbs/94.3kg,https://www.nba.com/players/darius/bazley/1629647
33,26 years,06/28/1993,2012,Florida,6 ft5 in/1.96m, Bradley Beal ,207 lbs/93.9kg,https://www.nba.com/players/bradley/beal/203078
34,22 years,11/26/1996,2016,Florida State,6 ft5 in/1.96m, Malik Beasley ,195 lbs/88.5kg,https://www.nba.com/players/malik/beasley/1627736
35,33 years,03/25/1986,2007,,6 ft5 in/1.96m, Marco Belinelli ,210 lbs/95.3kg,https://www.nba.com/players/marco/belinelli/201158
36,24 years,01-07-1995,2017,Oregon,6 ft9 in/2.06m, Jordan Bell ,224 lbs/101.6kg,https://www.nba.com/players/jordan/bell/1628395
37,25 years,07-04-1994,2016,"St. Joseph's, PA",6 ft6 in/1.98m, DeAndre' Bembry ,210 lbs/95.3kg,https://www.nba.com/players/deandre'/bembry/1627761
38,29 years,09-09-1989,2018,,6 ft4 in/1.93m, Dairis Bertans ,200 lbs/90.7kg,https://www.nba.com/players/dairis/bertans/1629541
39,26 years,11-12-1992,2016,,6 ft10 in/2.08m, Davis Bertans ,225 lbs/102.1kg,https://www.nba.com/players/davis/bertans/202722
40,31 years,07-12-1988,2012,Arkansas,6 ft1 in/1.85m, Patrick Beverley ,185 lbs/83.9kg,https://www.nba.com/players/patrick/beverley/201976
41,26 years,09/28/1992,2017,UNLV,6 ft9 in/2.06m, Khem Birch ,233 lbs/105.7kg,https://www.nba.com/players/khem/birch/203920
42,20 years,07/20/1999,—,,6 ft11 in/2.11m, Goga Bitadze ,245 lbs/111.1kg,https://www.nba.com/players/goga/bitadze/1629048
43,26 years,08/28/1992,2011,,6 ft9 in/2.06m, Bismack Biyombo ,255 lbs/115.7kg,https://www.nba.com/players/bismack/biyombo/202687
44,31 years,05-09-1988,2015,,6 ft10 in/2.08m, Nemanja Bjelica ,234 lbs/106.1kg,https://www.nba.com/players/nemanja/bjelica/202357
45,22 years,10-04-1996,2017,Louisiana State,6 ft4 in/1.93m, Antonio Blakeney ,192 lbs/87.1kg,https://www.nba.com/players/antonio/blakeney/1628469
46,29 years,12-09-1989,2010,Kentucky,6 ft1 in/1.85m, Eric Bledsoe ,205 lbs/93.0kg,https://www.nba.com/players/eric/bledsoe/202339
47,25 years,09/16/1993,2018,Clemson,6 ft8 in/2.03m, Jaron Blossomgame ,220 lbs/99.8kg,https://www.nba.com/players/jaron/blossomgame/1628417
48,24 years,11-04-1994,—,Xavier University,6 ft6 in/1.98m, Trevon Bluiett ,198 lbs/89.8kg,https://www.nba.com/players/trevon/bluiett/1629129
49,26 years,08/18/1992,2017,,6 ft6 in/1.98m, Bogdan Bogdanovic ,205 lbs/93.0kg,https://www.nba.com/players/bogdan/bogdanovic/203992
50,30 years,04/18/1989,2014,,6 ft8 in/2.03m, Bojan Bogdanovic ,216 lbs/98.0kg,https://www.nba.com/players/bojan/bogdanovic/202711
51,19 years,11/16/1999,—,University of Oregon,7 ft2 in/2.18m, Bol Bol ,208 lbs/94.3kg,https://www.nba.com/players/bol/bol/1629626
52,23 years,01-02-1996,2018,,6 ft10 in/2.08m, Jonah Bolden ,220 lbs/99.8kg,https://www.nba.com/players/jonah/bolden/1628413
53,21 years,11-05-1997,—,University of Tennessee,6 ft2 in/1.88m, Jordan Bone ,179 lbs/81.2kg,https://www.nba.com/players/jordan/bone/1629648
54,19 years,11-08-1999,2018,,6 ft8 in/2.03m, Isaac Bonga ,180 lbs/81.6kg,https://www.nba.com/players/isaac/bonga/1629067
55,22 years,10/30/1996,2015,Kentucky,6 ft6 in/1.98m, Devin Booker ,210 lbs/95.3kg,https://www.nba.com/players/devin/booker/1626164
56,26 years,01-11-1993,2017,Oregon,6 ft10 in/2.08m, Chris Boucher ,200 lbs/90.7kg,https://www.nba.com/players/chris/boucher/1628449
57,20 years,10-02-1998,—,,6 ft7 in/2.01m, Brian Bowen II ,190 lbs/86.2kg,https://www.nba.com/players/brian/bowen_ii/1628968
58,28 years,11/26/1990,2010,Texas,6 ft2 in/1.88m, Avery Bradley ,180 lbs/81.6kg,https://www.nba.com/players/avery/bradley/202340
59,21 years,01-08-1998,2017,North Carolina,6 ft10 in/2.08m, Tony Bradley ,248 lbs/112.5kg,https://www.nba.com/players/tony/bradley/1628396
60,23 years,06-07-1996,—,College of Charleston,6 ft7 in/2.01m, Jarrell Brantley ,250 lbs/113.4kg,https://www.nba.com/players/jarrell/brantley/1629714
61,20 years,01-08-1999,—,University of Michigan,6 ft7 in/2.01m, Ignas Brazdeikis ,221 lbs/100.2kg,https://www.nba.com/players/ignas/brazdeikis/1629649
62,33 years,03-05-1986,2007,Florida,6 ft9 in/2.06m, Corey Brewer ,186 lbs/84.4kg,https://www.nba.com/players/corey/brewer/201147
63,22 years,08/30/1996,2018,Villanova University,6 ft7 in/2.01m, Mikal Bridges ,210 lbs/95.3kg,https://www.nba.com/players/mikal/bridges/1628969
64,21 years,03/21/1998,2018,Michigan State University,6 ft7 in/2.01m, Miles Bridges ,225 lbs/102.1kg,https://www.nba.com/players/miles/bridges/1628970
65,28 years,08/23/1990,2018,—,6 ft7 in/2.01m, Ryan Broekhoff ,215 lbs/97.5kg,https://www.nba.com/players/ryan/broekhoff/1629151
66,26 years,12-11-1992,2016,Virginia,6 ft5 in/1.96m, Malcolm Brogdon ,229 lbs/103.9kg,https://www.nba.com/players/malcolm/brogdon/1627763
67,23 years,01/22/1996,2017,Oregon,6 ft6 in/1.98m, Dillon Brooks ,220 lbs/99.8kg,https://www.nba.com/players/dillon/brooks/1628415
68,19 years,07/28/1999,2018,University of Oregon,6 ft7 in/2.01m, Troy Brown Jr. ,215 lbs/97.5kg,https://www.nba.com/players/troy/brown_jr./1628972
69,22 years,08/15/1996,2018,University of Miami,6 ft5 in/1.96m, Bruce Brown ,202 lbs/91.6kg,https://www.nba.com/players/bruce/brown/1628971
70,22 years,02-02-1997,—,—,6 ft7 in/2.01m, Charles Brown ,199 lbs/90.3kg,https://www.nba.com/players/charles/brown/1629718
71,22 years,10/24/1996,2016,California,6 ft7 in/2.01m, Jaylen Brown ,220 lbs/99.8kg,https://www.nba.com/players/jaylen/brown/1627759
72,24 years,02-10-1995,2017,Southern Methodist,6 ft6 in/1.98m, Sterling Brown ,232 lbs/105.2kg,https://www.nba.com/players/sterling/brown/1628425
73,22 years,08/31/1996,2018,Villanova University,6 ft3 in/1.9m, Jalen Brunson ,190 lbs/86.2kg,https://www.nba.com/players/jalen/brunson/1628973
74,21 years,07/31/1997,2017,Indiana,6 ft11 in/2.11m, Thomas Bryant ,248 lbs/112.5kg,https://www.nba.com/players/thomas/bryant/1628418
75,28 years,03/16/1991,2013,North Carolina,6 ft7 in/2.01m, Reggie Bullock ,205 lbs/93.0kg,https://www.nba.com/players/reggie/bullock/203493
76,26 years,11-12-1992,2013,Michigan,6 ft1 in/1.85m, Trey Burke ,175 lbs/79.4kg,https://www.nba.com/players/trey/burke/203504
77,28 years,07/20/1991,2011,Colorado,6 ft6 in/1.98m, Alec Burks ,214 lbs/97.1kg,https://www.nba.com/players/alec/burks/202692
78,25 years,01/31/1994,2018,Iowa State,6 ft5 in/1.96m, Deonte Burton ,245 lbs/111.1kg,https://www.nba.com/players/deonte/burton/1629126
79,29 years,09/14/1989,2011,Marquette,6 ft8 in/2.03m, Jimmy Butler ,232 lbs/105.2kg,https://www.nba.com/players/jimmy/butler/202710
80,23 years,09/21/1995,2014,Brazil,6 ft9 in/2.06m, Bruno Caboclo ,218 lbs/98.9kg,https://www.nba.com/players/bruno/caboclo/203998
81,22 years,10-08-1996,—,North Carolina-Wilmington,6 ft7 in/2.01m, Devontae Cacok ,240 lbs/108.9kg,https://www.nba.com/players/devontae/cacok/1629719
82,37 years,09/28/1981,2005,,6 ft3 in/1.9m, Jose Calderon ,200 lbs/90.7kg,https://www.nba.com/players/jose/calderon/101181
83,26 years,02/18/1993,2013,Georgia,6 ft5 in/1.96m, Kentavious Caldwell-Pope ,205 lbs/93.0kg,https://www.nba.com/players/kentavious/caldwell-pope/203484
84,25 years,05/18/1994,2014,Switzerland,6 ft10 in/2.08m, Clint Capela ,240 lbs/108.9kg,https://www.nba.com/players/clint/capela/203991
85,32 years,07/27/1986,2009,Missouri,6 ft8 in/2.03m, DeMarre Carroll ,215 lbs/97.5kg,https://www.nba.com/players/demarre/carroll/201960
86,20 years,04/16/1999,2018,Duke University,6 ft10 in/2.08m, Wendell Carter Jr. ,255 lbs/115.7kg,https://www.nba.com/players/wendell/carter_jr./1628976
87,27 years,10-10-1991,2013,Syracuse,6 ft6 in/1.98m, Michael Carter-Williams ,190 lbs/86.2kg,https://www.nba.com/players/michael/carter-williams/203487
88,23 years,09/14/1995,2018,West Virginia University,6 ft2 in/1.88m, Jevon Carter ,195 lbs/88.5kg,https://www.nba.com/players/jevon/carter/1628975
89,42 years,01/26/1977,1998,North Carolina,6 ft6 in/1.98m, Vince Carter ,220 lbs/99.8kg,https://www.nba.com/players/vince/carter/1713
90,25 years,02/28/1994,2017,Texas A&M,6 ft5 in/1.96m, Alex Caruso ,186 lbs/84.4kg,https://www.nba.com/players/alex/caruso/1627936
91,25 years,08/18/1993,2015,Kentucky,7 ft0 in/2.13m, Willie Cauley-Stein ,240 lbs/108.9kg,https://www.nba.com/players/willie/cauley-stein/1626161
92,23 years,11/29/1995,2018,Cincinnati,6 ft4 in/1.93m, Troy Caupain ,210 lbs/95.3kg,https://www.nba.com/players/troy/caupain/1628505
93,25 years,02-09-1994,2017,George Washington,6 ft9 in/2.06m, Tyler Cavanaugh ,238 lbs/108.0kg,https://www.nba.com/players/tyler/cavanaugh/1628463
94,36 years,10-02-1982,2001,No College,7 ft1 in/2.16m, Tyson Chandler ,240 lbs/108.9kg,https://www.nba.com/players/tyson/chandler/2199
95,32 years,05-10-1987,2007,DePaul,6 ft9 in/2.06m, Wilson Chandler ,225 lbs/102.1kg,https://www.nba.com/players/wilson/chandler/201163
96,23 years,11-01-1995,2018,College of Charleston,6 ft3 in/1.9m, Joe Chealey ,190 lbs/86.2kg,https://www.nba.com/players/joe/chealey/1629147
97,23 years,11/21/1995,2018,University of Florida,6 ft0 in/1.83m, Chris Chiozza ,175 lbs/79.4kg,https://www.nba.com/players/chris/chiozza/1629185
98,22 years,07-02-1997,2016,Washington,6 ft10 in/2.08m, Marquese Chriss ,240 lbs/108.9kg,https://www.nba.com/players/marquese/chriss/1627737
99,22 years,09/19/1996,—,Gonzaga University,6 ft8 in/2.03m, Brandon Clarke ,207 lbs/93.9kg,https://www.nba.com/players/brandon/clarke/1629634
100,24 years,11/16/1994,2018,University of Cincinnati,6 ft8 in/2.03m, Gary Clark ,225 lbs/102.1kg,https://www.nba.com/players/gary/clark/1629109
101,28 years,03-07-1991,2013,Belmont,6 ft3 in/1.9m, Ian Clark ,175 lbs/79.4kg,https://www.nba.com/players/ian/clark/203546
102,27 years,06-07-1992,2014,Missouri,6 ft5 in/1.96m, Jordan Clarkson ,194 lbs/88.0kg,https://www.nba.com/players/jordan/clarkson/203903
103,20 years,04/17/1999,—,University of Georgia,6 ft11 in/2.11m, Nicolas Claxton ,220 lbs/99.8kg,https://www.nba.com/players/nicolas/claxton/1629651
104,21 years,07/23/1997,—,Campbell University,5 ft9 in/1.75m, Chris Clemons ,180 lbs/81.6kg,https://www.nba.com/players/chris/clemons/1629598
105,22 years,06/17/1997,—,University of Minnesota,6 ft8 in/2.03m, Amir Coffey ,210 lbs/95.3kg,https://www.nba.com/players/amir/coffey/1629599
106,21 years,09/23/1997,2017,Wake Forest,6 ft10 in/2.08m, John Collins ,235 lbs/106.6kg,https://www.nba.com/players/john/collins/1628381
107,21 years,11/19/1997,2017,Gonzaga,7 ft0 in/2.13m, Zach Collins ,235 lbs/106.6kg,https://www.nba.com/players/zach/collins/1628380
108,23 years,01-12-1996,2018,Notre Dame,6 ft6 in/1.98m, Bonzie Colson ,225 lbs/102.1kg,https://www.nba.com/players/bonzie/colson/1629045
109,31 years,10-11-1987,2007,Ohio State,6 ft1 in/1.85m, Mike Conley ,175 lbs/79.4kg,https://www.nba.com/players/mike/conley/201144
110,26 years,01-06-1993,2015,Notre Dame,6 ft4 in/1.93m, Pat Connaughton ,209 lbs/94.8kg,https://www.nba.com/players/pat/connaughton/1626192
111,26 years,03/23/1993,2016,Duke,6 ft2 in/1.88m, Quinn Cook ,179 lbs/81.2kg,https://www.nba.com/players/quinn/cook/1626188
112,28 years,08/13/1990,2010,Kentucky,6 ft11 in/2.11m, DeMarcus Cousins ,270 lbs/122.5kg,https://www.nba.com/players/demarcus/cousins/202326
113,28 years,12/14/1990,2013,Tennessee State,6 ft9 in/2.06m, Robert Covington ,225 lbs/102.1kg,https://www.nba.com/players/robert/covington/203496
114,27 years,04-09-1992,2013,California,6 ft6 in/1.98m, Allen Crabbe ,212 lbs/96.2kg,https://www.nba.com/players/allen/crabbe/203459
115,28 years,12/19/1990,2017,South Carolina Upstate,6 ft7 in/2.01m, Torrey Craig ,215 lbs/97.5kg,https://www.nba.com/players/torrey/craig/1628470
116,39 years,03/20/1980,2000,Michigan,6 ft5 in/1.96m, Jamal Crawford ,185 lbs/83.9kg,https://www.nba.com/players/jamal/crawford/2037
117,27 years,04/27/1992,2018,,6 ft6 in/1.98m, Mitchell Creek ,225 lbs/102.1kg,https://www.nba.com/players/mitchell/creek/1628249
118,29 years,07-06-1990,2012,Marquette,6 ft6 in/1.98m, Jae Crowder ,235 lbs/106.6kg,https://www.nba.com/players/jae/crowder/203109
119,20 years,02/20/1999,—,Texas Tech University,6 ft7 in/2.01m, Jarrett Culver ,195 lbs/88.5kg,https://www.nba.com/players/jarrett/culver/1629633
120,32 years,04/22/1987,2009,Villanova,6 ft8 in/2.03m, Dante Cunningham ,230 lbs/104.3kg,https://www.nba.com/players/dante/cunningham/201967
121,28 years,08/23/1990,2013,Duke,6 ft2 in/1.88m, Seth Curry ,185 lbs/83.9kg,https://www.nba.com/players/seth/curry/203552
122,31 years,03/14/1988,2009,Davidson,6 ft3 in/1.9m, Stephen Curry ,190 lbs/86.2kg,https://www.nba.com/players/stephen/curry/201939
123,28 years,07/15/1991,2013,Va Commonwealth,6 ft4 in/1.93m, Troy Daniels ,205 lbs/93.0kg,https://www.nba.com/players/troy/daniels/203584
124,26 years,03-11-1993,2012,Kentucky,6 ft10 in/2.08m, Anthony Davis ,253 lbs/114.8kg,https://www.nba.com/players/anthony/davis/203076
125,22 years,12-02-1996,2016,Michigan State,6 ft11 in/2.11m, Deyonta Davis ,237 lbs/107.5kg,https://www.nba.com/players/deyonta/davis/1627738
126,30 years,06-05-1989,2010,North Carolina,6 ft10 in/2.08m, Ed Davis ,225 lbs/102.1kg,https://www.nba.com/players/ed/davis/202334
127,22 years,05/16/1997,—,University of Mississippi,6 ft4 in/1.93m, Terence Davis ,205 lbs/93.0kg,https://www.nba.com/players/terence/davis/1629056
128,29 years,08-12-1989,2013,USC,7 ft0 in/2.13m, Dewayne Dedmon ,245 lbs/111.1kg,https://www.nba.com/players/dewayne/dedmon/203473
129,24 years,11/20/1994,2018,Seton Hall University,6 ft10 in/2.08m, Angel Delgado ,245 lbs/111.1kg,https://www.nba.com/players/angel/delgado/1629116
130,28 years,09-08-1990,2013,St. Mary's (CA),6 ft4 in/1.93m, Matthew Dellavedova ,200 lbs/90.7kg,https://www.nba.com/players/matthew/dellavedova/203521
131,34 years,04/16/1985,2004,Duke,6 ft9 in/2.06m, Luol Deng ,237 lbs/107.5kg,https://www.nba.com/players/luol/deng/2736
132,29 years,08-07-1989,2009,USC,6 ft7 in/2.01m, DeMar DeRozan ,220 lbs/99.8kg,https://www.nba.com/players/demar/derozan/201942
133,23 years,02-01-1996,2018,Georgetown University,6 ft7 in/2.01m, Marcus Derrickson ,249 lbs/112.9kg,https://www.nba.com/players/marcus/derrickson/1629094
134,22 years,09/13/1996,2016,Kansas,6 ft9 in/2.06m, Cheick Diallo ,220 lbs/99.8kg,https://www.nba.com/players/cheick/diallo/1627767
135,20 years,07/31/1998,2018,University of Kentucky,6 ft5 in/1.96m, Hamidou Diallo ,198 lbs/89.8kg,https://www.nba.com/players/hamidou/diallo/1628977
136,29 years,01/18/1990,2013,Louisville,6 ft11 in/2.11m, Gorgui Dieng ,252 lbs/114.3kg,https://www.nba.com/players/gorgui/dieng/203476
137,26 years,04-06-1993,2014,Colorado,6 ft6 in/1.98m, Spencer Dinwiddie ,210 lbs/95.3kg,https://www.nba.com/players/spencer/dinwiddie/203915
138,22 years,01/31/1997,2018,Villanova University,6 ft4 in/1.93m, Donte DiVincenzo ,203 lbs/92.1kg,https://www.nba.com/players/donte/divincenzo/1628978
139,20 years,02/28/1999,2018,,6 ft7 in/2.01m, Luka Doncic ,218 lbs/98.9kg,https://www.nba.com/players/luka/doncic/1629029
140,23 years,02/18/1996,2017,Oregon,6 ft5 in/1.96m, Tyler Dorsey ,183 lbs/83.0kg,https://www.nba.com/players/tyler/dorsey/1628416
141,20 years,04/19/1999,—,Arizona State University,6 ft4 in/1.93m, Luguentz Dort ,222 lbs/100.7kg,https://www.nba.com/players/luguentz/dort/1629652
142,25 years,05-06-1994,2017,Houston,6 ft6 in/1.98m, Damyean Dotson ,210 lbs/95.3kg,https://www.nba.com/players/damyean/dotson/1628422
143,18 years,12/23/2000,—,,6 ft9 in/2.06m, Sekou Doumbouya ,209 lbs/94.8kg,https://www.nba.com/players/sekou/doumbouya/1629635
144,33 years,05-06-1986,2008,,6 ft3 in/1.9m, Goran Dragic ,190 lbs/86.2kg,https://www.nba.com/players/goran/dragic/201609
145,25 years,08-10-1993,2012,Connecticut,6 ft11 in/2.11m, Andre Drummond ,279 lbs/126.6kg,https://www.nba.com/players/andre/drummond/203083
146,34 years,07-10-1985,2007,Boston College,6 ft7 in/2.01m, Jared Dudley ,237 lbs/107.5kg,https://www.nba.com/players/jared/dudley/201162
147,25 years,03/18/1994,2016,Providence,6 ft4 in/1.93m, Kris Dunn ,205 lbs/93.0kg,https://www.nba.com/players/kris/dunn/1627739
148,30 years,09/29/1988,2007,Texas,6 ft9 in/2.06m, Kevin Durant ,240 lbs/108.9kg,https://www.nba.com/players/kevin/durant/201142
149,20 years,08-03-1998,2018,Duke University,6 ft2 in/1.88m, Trevon Duval ,189 lbs/85.7kg,https://www.nba.com/players/trevon/duval/1628979
150,21 years,03-12-1998,—,Purdue University,6 ft0 in/1.83m, Carsen Edwards ,199 lbs/90.3kg,https://www.nba.com/players/carsen/edwards/1629035
151,23 years,04-05-1996,2018,Purdue University,6 ft8 in/2.03m, Vincent Edwards ,225 lbs/102.1kg,https://www.nba.com/players/vincent/edwards/1629053
152,22 years,01/13/1997,2016,Marquette,6 ft11 in/2.11m, Henry Ellenson ,245 lbs/111.1kg,https://www.nba.com/players/henry/ellenson/1627740
153,31 years,11/29/1987,2009,North Carolina,6 ft5 in/1.96m, Wayne Ellington ,200 lbs/90.7kg,https://www.nba.com/players/wayne/ellington/201961
154,25 years,03/16/1994,2016,Kansas,7 ft0 in/2.13m, Joel Embiid ,250 lbs/113.4kg,https://www.nba.com/players/joel/embiid/203954
155,29 years,07-01-1990,2014,Cal State-Long Beach,6 ft7 in/2.01m, James Ennis III ,210 lbs/95.3kg,https://www.nba.com/players/james/ennis_iii/203516
156,22 years,02-01-1997,2018,—,6 ft10 in/2.08m, Drew Eubanks ,245 lbs/111.1kg,https://www.nba.com/players/drew/eubanks/1629234
157,22 years,06/18/1997,2018,University of Cincinnati,6 ft6 in/1.98m, Jacob Evans ,210 lbs/95.3kg,https://www.nba.com/players/jacob/evans/1628980
158,22 years,07/26/1996,2017,Oklahoma State,6 ft0 in/1.83m, Jawun Evans ,190 lbs/86.2kg,https://www.nba.com/players/jawun/evans/1628393
159,24 years,07/13/1995,2014,,6 ft6 in/1.98m, Dante Exum ,190 lbs/86.2kg,https://www.nba.com/players/dante/exum/203957
160,29 years,11/19/1989,2011,Morehead State,6 ft8 in/2.03m, Kenneth Faried ,220 lbs/99.8kg,https://www.nba.com/players/kenneth/faried/202702
161,28 years,07/15/1991,2010,Georgia Tech,6 ft10 in/2.08m, Derrick Favors ,265 lbs/120.2kg,https://www.nba.com/players/derrick/favors/202324
162,27 years,07-07-1992,2015,,6 ft10 in/2.08m, Cristiano Felicio ,265 lbs/120.2kg,https://www.nba.com/players/cristiano/felicio/1626245
163,35 years,06/26/1984,2005,North Carolina,6 ft1 in/1.85m, Raymond Felton ,205 lbs/93.0kg,https://www.nba.com/players/raymond/felton/101109
164,21 years,05/17/1998,2017,,6 ft7 in/2.01m, Terrance Ferguson ,190 lbs/86.2kg,https://www.nba.com/players/terrance/ferguson/1628390
165,20 years,08/15/1998,—,University of Maryland,6 ft10 in/2.08m, Bruno Fernando ,233 lbs/105.7kg,https://www.nba.com/players/bruno/fernando/1628981
166,26 years,05-09-1993,2016,Indiana,6 ft0 in/1.83m, Yogi Ferrell ,180 lbs/81.6kg,https://www.nba.com/players/yogi/ferrell/1627812
167,26 years,05-04-1993,2016,Florida,6 ft8 in/2.03m, Dorian Finney-Smith ,220 lbs/99.8kg,https://www.nba.com/players/dorian/finney-smith/1627827
168,25 years,07/23/1993,2016,Michigan State,6 ft3 in/1.9m, Bryn Forbes ,190 lbs/86.2kg,https://www.nba.com/players/bryn/forbes/1627854
169,26 years,10/29/1992,2012,,6 ft7 in/2.01m, Evan Fournier ,205 lbs/93.0kg,https://www.nba.com/players/evan/fournier/203095
170,21 years,12/20/1997,2017,Kentucky,6 ft3 in/1.9m, De'Aaron Fox ,175 lbs/79.4kg,https://www.nba.com/players/de'aaron/fox/1628368
171,22 years,12/18/1996,—,Washington State University,6 ft9 in/2.06m, Robert Franks ,225 lbs/102.1kg,https://www.nba.com/players/robert/franks/1629606
172,22 years,08/30/1996,2018,Tulane University,6 ft6 in/1.98m, Melvin Frazier Jr. ,200 lbs/90.7kg,https://www.nba.com/players/melvin/frazier_jr./1628982
173,25 years,03-08-1994,—,Florida,6 ft4 in/1.93m, Michael Frazier ,200 lbs/90.7kg,https://www.nba.com/players/michael/frazier/1626187
174,28 years,11-01-1990,2014,Penn State,6 ft1 in/1.85m, Tim Frazier ,170 lbs/77.1kg,https://www.nba.com/players/tim/frazier/204025
175,30 years,02/25/1989,2011,Brigham Young,6 ft2 in/1.88m, Jimmer Fredette ,195 lbs/88.5kg,https://www.nba.com/players/jimmer/fredette/202690
176,36 years,05/17/1983,2005,Arizona,7 ft0 in/2.13m, Channing Frye ,255 lbs/115.7kg,https://www.nba.com/players/channing/frye/101112
